source;date_iso;intitule;couleur_rgba;couleur_hex;couleur_nom;domaine_8;provenance_correspondance
Chrono_Bitcoin_institutionnalisation_V2;2011-03-25;Premier site d'éducation à Bitcoin, Weusecoins.com;255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2011-04-18;"Lancement de ""Namecoin"", premier altcoin arrimé à Bitcoin via ""merge mining""";255,248,252,146;#f8fc92;jaune;ii;contenu : minage GPU, Slush, FPGA, ASIC
Chrono_Bitcoin_institutionnalisation_V2;2011-06-01;Premier minage par FGPA;255,248,252,146;#f8fc92;jaune;ii;contenu : minage GPU, Slush, FPGA, ASIC
Chrono_Bitcoin_institutionnalisation_V2;2011-06-03;"Service de portefeuille et de paiement custudial ""BitPay""";255,248,216,136;#f8d888;orange;iii;calibre : 1/1 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2011-06-13;Premier vol de BTC;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2;2011-06-13;La bourse d'échange MtGox perd 25 000 BTC (~400 000$ à l'époque) dans un vol;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2;2011-06-15;WikiLeaks accepte les dons en BTC;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2011-07-17;[RU] Création de la plateforme BTC-E, par A. Vinnik et A. Bilyuchenko;255,255,255,255;;;;
Chrono_Bitcoin_institutionnalisation_V2;2011-08-16;"Première bourse d'échange BTC / Euro, ""Paymium""";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2011-08-19;Propositions de standardisation des modifications de Bitcoin, BIP, par A. Taaki,;255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2011-11-09;"Premier logiciel de portefeuille dédié leger, ""Electrum"" par T. Voedtlin";255,248,216,136;#f8d888;orange;iii;calibre : 1/1 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2012-01-01;"Proposition de Meta-protocole sur Bitcoin, ""The Second Bitcoin Whitepaper"", par JR Willet";255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2012-03-15;Premier Split de chain (BIP 30);255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2012-04-01;Modification protocolaire BIP16 (Pay-to-script Hash) pour portefeuilles multi-signatures;255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2012-04-02;Service de processeurs de paiement (B2C, B2B), par OpenNode;255,248,216,136;#f8d888;orange;iii;calibre : 1/1 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2012-04-24;"Premier jeux de hazard, ""SatoshiDice"", par E. Voorhees";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2012-05-01;Première publication d'un magazine, Bitcoin Magazine créer par V. Buterin & M. Alisie;255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
